"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Project cannot be created without authorization","API","2026-09-11","passed","2026-09-11","Authorization","Projects","",""
"","134","Deleted build step is removed from TeamCity configuration","API","2026-09-11","passed","2026-09-11","Configuration Persistence","Build Steps","",""
"","81","Created build configuration is persisted in database","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Configurations","",""
"","25086","Create Command Line build step","UI · Chromium","2026-09-11","passed","2026-09-11","Creation","Build Steps","",""
"","54","Project cannot be created with existing id","API","2026-09-11","passed","2026-09-11","Validation","Projects","",""
"","42","User cannot be created with existing username","API","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","26804","Create Command Line build step","UI · Firefox","2026-09-11","passed","2026-09-11","Creation","Build Steps","",""
"","60","Request with invalid token is rejected","API","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","483","Create build configuration","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Configurations","",""
"","5318","test_project_viewer_cannot_create_entities[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","81","Created build step is persisted in TeamCity configuration","API","2026-09-11","passed","2026-09-11","Configuration Persistence","Build Steps","",""
"","6991","test_project_viewer_cannot_create_entities[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","72","Delete user","API","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","46","Project cannot be created with existing name in same parent","API","2026-09-11","passed","2026-09-11","Validation","Projects","",""
"","45","Created project is persisted in database","API","2026-09-11","passed","2026-09-11","Lifecycle","Projects","",""
"","81","Limited user cannot create build configuration","API","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","6799","test_admin_cannot_create_user_with_empty_required_fields[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","242","Request with revoked token is rejected","API","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","143","Create build configuration in subproject","API","2026-09-11","passed","2026-09-11","Scoping","Build Configurations","",""
"","84","Build configuration cannot be created with existing name in same project","API","2026-09-11","passed","2026-09-11","Validation","Build Configurations","",""
"","12453","Manual build run receives a runtime parameter","API","2026-09-11","passed","2026-09-11","Runtime Parameters","Build Execution","",""
"","29194","Create Command Line build step","UI · WebKit","2026-09-11","passed","2026-09-11","Creation","Build Steps","",""
"","229","Deleting user revokes its tokens","API","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","262","Limited user cannot create project","API","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","232","Build configurations with same name can be created in different projects","API","2026-09-11","passed","2026-09-11","Scoping","Build Configurations","",""
"","78","Delete project","API","2026-09-11","passed","2026-09-11","Lifecycle","Projects","",""
"","59","Update build step","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Steps","",""
"","13003","test_admin_can_create_access_token_for_user[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","12236","test_admin_can_login[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","11205","Manual build run finishes successfully","API","2026-09-11","passed","2026-09-11","Manual Run","Build Execution","",""
"","12482","test_admin_can_create_user[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","106","Delete project with build configuration","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Configurations","",""
"","3214","test_user_cannot_login_with_invalid_credentials[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","39","Created user is persisted in database","API","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","50","Request without token is rejected","API","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","2657","test_user_cannot_login_with_invalid_credentials[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","6992","test_project_viewer_cannot_create_entities[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","85","Delete build configuration","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Configurations","",""
"","15049","test_admin_can_login[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","852","Assign role to user","API","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","15760","test_admin_can_create_user[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","95","Updated build step is persisted in TeamCity configuration","API","2026-09-11","passed","2026-09-11","Configuration Persistence","Build Steps","",""
"","59","Create project with different id and name","API","2026-09-11","passed","2026-09-11","Lifecycle","Projects","",""
"","95","Create user","API","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","68","Administrator user can create build configuration","API","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","151","Projects with same name can be created in different parents","API","2026-09-11","passed","2026-09-11","Hierarchy","Projects","",""
"","63","Create multiple build steps","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Steps","",""
"","4371","test_admin_cannot_create_user_with_empty_required_fields[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","31374","test_admin_can_create_project[webkit]","UI · WebKit","2026-09-11","failed","2026-09-11","Creation","Projects","",""
"","6827","test_admin_cannot_create_user_with_empty_required_fields[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","8994","test_admin_can_delete_user[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","24","Build configuration cannot be created without authorization","API","2026-09-11","passed","2026-09-11","Authorization","Build Configurations","",""
"","5817","test_admin_can_delete_user[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","4095","test_user_cannot_login_with_invalid_credentials[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","11959","test_admin_can_create_user[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","335","Create user token","API","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","13474","test_admin_can_create_access_token_for_user[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","83","Deleted user cannot authenticate","API","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","106","Create project","API","2026-09-11","passed","2026-09-11","Lifecycle","Projects","",""
"","29271","Running build can be cancelled","API","2026-09-11","passed","2026-09-11","Cancellation","Build Execution","",""
"","8486","test_admin_can_create_project[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Creation","Projects","",""
"","243","Request with valid token is authorized","API","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
"","24","User cannot be created without authorization","API","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","87","Build configuration cannot be created with existing id","API","2026-09-11","passed","2026-09-11","Validation","Build Configurations","",""
"","13","Project cannot be created with unknown parent","API","2026-09-11","passed","2026-09-11","Validation","Projects","",""
"","8798","test_admin_can_login[webkit]","UI · WebKit","2026-09-11","passed","2026-09-11","Login","Authentication","",""
"","328","Delete build step","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Steps","",""
"","6453","test_admin_can_create_project[firefox]","UI · Firefox","2026-09-11","passed","2026-09-11","Creation","Projects","",""
"","17","Build step cannot be created for nonexistent build configuration","API","2026-09-11","passed","2026-09-11","Validation","Build Steps","",""
"","73","Create build step","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Steps","",""
"","81","Create build configuration with different id and name","API","2026-09-11","passed","2026-09-11","Lifecycle","Build Configurations","",""
"","156","Administrator user can create project","API","2026-09-11","passed","2026-09-11","Permissions","Identity & Access","",""
"","85","Create subproject","API","2026-09-11","passed","2026-09-11","Hierarchy","Projects","",""
"","38","Build configuration cannot be created in unknown project","API","2026-09-11","passed","2026-09-11","Validation","Build Configurations","",""
"","6942","test_admin_can_delete_user[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Users","Identity & Access","",""
"","11180","Manual build run reports failed script","API","2026-09-11","passed","2026-09-11","Manual Run","Build Execution","",""
"","9684","test_admin_can_create_access_token_for_user[chromium]","UI · Chromium","2026-09-11","passed","2026-09-11","Access Tokens","Identity & Access","",""
