"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TeamCity REST API","0","Authorization","1","0","Negative authorization","0"
"0","TeamCity REST API","0","VCS Roots","1","0","Create VCS root","0"
"0","TeamCity REST API","0","Build Queue","1","0","Run build","0"
"0","TeamCity REST API","0","DB Compatibility","1","0","Database compatibility lifecycle","0"
"0","TeamCity REST API","0","Build Steps","1","0","Add build step","0"
"0","TeamCity REST API","0","Cleanup","1","0","Cleanup test data","0"
"0","TeamCity REST API","0","Projects","1","0","Create project","0"
"0","TeamCity REST API","0","Build Metadata","1","0","Check build metadata","0"
"0","TeamCity REST API","0","Permissions","1","0","Limited user permissions","0"
"0","TeamCity REST API","0","Build Configuration","1","0","Create build configuration","0"
"0","TeamCity","0","Readiness","1","0","Web endpoint","0"
"0","TeamCity REST API","0","Build Result","1","0","Failed build result","0"
"0","TeamCity REST API","0","Build Result","1","0","Check build execution result","0"
"0","TeamCity REST API","0","Data Isolation","1","0","Data isolation and rerun","0"
