"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","217","Create user token","API","2026-07-24","passed","2026-07-24","Access Tokens","Identity & Access","",""
"","9648","test_admin_can_login[chromium]","UI","2026-07-24","passed","2026-07-24","Login","Authentication","",""
"","59","Create user","API","2026-07-24","passed","2026-07-24","Users","Identity & Access","",""
"","32061","test_admin_can_delete_user[chromium]","UI","2026-07-24","broken","2026-07-24","Users","Identity & Access","",""
"","32607","test_admin_can_create_access_token_for_user[chromium]","UI","2026-07-24","broken","2026-07-24","Access Tokens","Identity & Access","",""
"","38230","test_admin_can_create_user[chromium]","UI","2026-07-24","broken","2026-07-24","Users","Identity & Access","",""
"","72","Create project","API","2026-07-24","passed","2026-07-24","Lifecycle","Projects","",""
"","286","Delete build step","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Steps","",""
"","4791","test_admin_can_create_project[chromium]","UI","2026-07-24","passed","2026-07-24","Creation","Projects","",""
"","35","Create build step","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Steps","",""
"","394","Create build configuration","API","2026-07-24","passed","2026-07-24","Lifecycle","Build Configurations","",""
